"idhod","hodnota","stapro_kod","typezar_cis","typezar_kod","pnet_cis","pnet_kod","pocdospvdom_cis","pocdospvdom_kod","pocdetivdom_cis","pocdetivdom_kod","velskupobce_cis","velskupobce_kod","kvartilcpdom_cis","kvartilcpdom_kod","rok","uzemi_cis","uzemi_kod","uzemi_txt","stapro_txt","typezar_txt","pnet_text","pocdospvdom_txt","pocdetivdom_txt","velskupobce_txt","kvartilcpdom_txt"
"916837766","22.9","7638","182","36",,,,,"7700","400001799999000",,,,,"2010","97","19","Česká republika","Domácností majících elektronické zařízení","Wi-Fi router",,,"1 a více",,
"916837777","9.1","7638","182","36",,,"7700","400001600002000","7700","400001799999000",,,,,"2010","97","19","Česká republika","Domácností majících elektronické zařízení","Wi-Fi router",,"1","1 a více",,
"916837548","6.5","7638","182","36",,,"7700","400001600002000","7700","400000600001000",,,,,"2010","97","19","Česká republika","Domácností majících elektronické zařízení","Wi-Fi router",,"1","0",,
"916837434","16.2","7638","182","36",,,,,,,,,,,"2010","97","19","Česká republika","Domácností majících elektronické zařízení","Wi-Fi router",,,,,
"916837559","10.5","7638","182","36",,,"7700","400002600003000","7700","400000600001000",,,,,"2010","97","19","Česká republika","Domácností majících elektronické zařízení","Wi-Fi router",,"2","0",,
"916836574","18.8","7638","182","36",,,,,,,,,"7700","410050610075000","2010","97","19","Česká republika","Domácností majících elektronické zařízení","Wi-Fi router",,,,,"třetí kvartil"
"916837669","27.4","7638","182","36",,,"7700","400003799999000","7700","400000600001000",,,,,"2010","97","19","Česká republika","Domácností majících elektronické zařízení","Wi-Fi router",,"3 a více","0",,
"916836657","32","7638","182","36",,,,,,,,,"7700","410075620100000","2010","97","19","Česká republika","Domácností majících elektronické zařízení","Wi-Fi router",,,,,"čtvrtý (nejvyšší) kvartil"
"916837950","15.6","7638","182","36",,,,,,,"7700","399999632000000",,,"2010","97","19","Česká republika","Domácností majících elektronické zařízení","Wi-Fi router",,,,"do 1999",
"916838109","16.5","7638","182","36",,,,,,,"7700","445000799999000",,,"2010","97","19","Česká republika","Domácností majících elektronické zařízení","Wi-Fi router",,,,"50000 a více",
"916838022","17.4","7638","182","36",,,,,,,"7700","432000641000000",,,"2010","97","19","Česká republika","Domácností majících elektronické zařízení","Wi-Fi router",,,,"2000 – 9999",
"916838033","15.5","7638","182","36",,,,,,,"7700","441000645000000",,,"2010","97","19","Česká republika","Domácností majících elektronické zařízení","Wi-Fi router",,,,"10000 – 49999",
"916838120","3.7","7638","182","36",,,,,,,,,"7700","400000610025000","2010","97","19","Česká republika","Domácností majících elektronické zařízení","Wi-Fi router",,,,,"první (nejnižší) kvartil"
"916837994","80.1","7640",,,,,"7700","400002600003000","7700","400001799999000",,,,,"2010","97","19","Česká republika","Domácností s přístupem k internetu",,,"2","1 a více",,
"916836637","46.8","7640",,,"5725","02",,,,,"7700","399999632000000",,,"2010","97","19","Česká republika","Domácností s přístupem k internetu",,"Vysokorychlostní připojení",,,"do 1999",
"916837262","89.1","7640",,,,,,,,,,,"7700","410075620100000","2010","97","19","Česká republika","Domácností s přístupem k internetu",,,,,,"čtvrtý (nejvyšší) kvartil"
"916837815","79.7","7640",,,,,"7700","400003799999000","7700","400000600001000",,,,,"2010","97","19","Česká republika","Domácností s přístupem k internetu",,,"3 a více","0",,
"916837608","47.2","7640",,,,,,,"7700","400000600001000",,,,,"2010","97","19","Česká republika","Domácností s přístupem k internetu",,,,"0",,
"916837917","62.5","7640",,,,,"7700","400001600002000","7700","400001799999000",,,,,"2010","97","19","Česká republika","Domácností s přístupem k internetu",,,"1","1 a více",,
